domain,tld_from_ip
ojs.redfundamentos.com,nl
ojs.roaae.org,sk
ojs.sdc.click,vn
ojs.stlpl.pro-linuxpl.com,de
ojs.tbelokon.beget.tech,ru
ojs.telkomnika.com,sg
ojs.turkishkinesiology.com,us
ojs.universoracionalista.org,us
ojs.vashagazeta.com,ru
ojs01.galib.uga.edu,us
ojs1.pruebas.metabiblioteca.com,us
ojs32.pesonaweb.com,id
ojs3modern17.openjournalsystems.com,us
ojs3x.com,us
ojspress.com,us
ojvr.org,de
oldbid.tabuladecimal.info,es
openpraxis.org,fr
oprr.sawitcentre.org,id
orangejournal.info,us
pac.chem.pitt.edu,us
panasianjournal.com,us
panoeconomicus.org,de
pathogenesis.pro,ru
pbmc2.ibmc.pro,ru
peaceanalyticsjournal.com,gb
penapersada.com,id
periodico.cpelin.org,ca
periodicos.aprb.org,us
perpetualinnovation.net,us
pesquisasagricolas.com,us
petier.org,id
phamho.com,au
pharmacyeducation.fip.org,nl
pharmascope.org,in
phcfm.org,de
phcogj.info,us
philssj.org,sg
pipd.ncipd.org,bg
piper.espacio-seram.com,de
pjmr.org,us
pkgn.xyz,id
pkps.org,us
pmpjournal.org,bg
politikon.iapss.org,us
pp.anpa.onl,us
ppghis.com,br
pradip.globalitms.com,us
praxis-ojs-shsu.tdl.org,us
praxisug.com,sg
preprints.digirep.org,us
preprints.psmpublishers.org,us
prespacetime.com,us
press.palni.org,us
pressmedica.com,cy
proceeding.tenjic.org,us
profpubs.com,us
projectbaikal.com,nl
prosiding.arab-um.com,id
prosiding.ilkeskh.org,id
psycholing-journal.com,ua
ptbreports.org,sg
pub.policyreview.info,de
publica.journals.publicknowledgeproject.org,ca
publicacionesicdp.com,us
publication.research-academy.org,id
publications.corvusjournal.org,nl
publications.sciences.ucf.edu,us
publishing.globalcsrc.org,us
publishingreview.ascee.org,id
pubnes.com,nl
purkh.com,us
qinglong-j.com,us
qubahan.com,sg
raagropecuaria.com,us
racsaude.com,us
rainsci.org,id
rastmd.net,tr
recacym.org,ca
reffit.tech,ru
resinprag.pragmaticsng.org,us
resol-tropiques.georesbio.org,ca
ressat.org,nl
retege.gemad.net,us
revista-edwardsdeming.com,us
revista.agroecologia.net,es
revista.appsicologia.org,us
revista.juriscons.org,us
revista.lapprudes.net,us
revista.primernombre.com,us
revista.soccolhort.com,us
revista.transferteq.com,us
revistaacorl.org,us
revistabiomedicaorg.biteca.online,us
revistaclinicaguayaquil.org,us
revistaeolo.fconvida.org,us
revistaespirales.com,us
revistaiberoamericanadederechoyeconomia.org,us
revistaiime.org,us
revistaindica.com,gb
revistajrg.com,us
revistalatribuna.gal,es
revistamedicaderosario.org,us
revistamedicocientifica.org,us
revistamosaicum.org,us
revistaoce.com,us
revistaodos.org,us
revistaparadigma.online,br
revistaprajna.com,ca
revistapsicologia.org,us
revistapsicosomaticaypsiquiatria.com,nl
revistaquiroga.andaluciayamerica.com,de
revistas.ancib.org,br
revistas.claudiotereso.com,pt
revistas.proeditio.com,es
revistas.zamorano.edu,hn
revistashc.org,us
revistatecnicatributaria.com,es
revistaunes.com,de
revistavitruvius.com,tr
revistesdigitals.uvic.cat,es
revsalus.racslusofonia.org,gb
revue.authentique-graal-afrique.com,ca
revue.leee.online,ch
ridtm.com,us
rii.revistadeingenieriaeinnovacion-fiis-unheval.com,nl
riico.net,nl
riiopenjournals.com,pk
riss.authentique-graal-afrique.com,ca
riviste-clueb.online,de
riviste.upra.org,us
rmd.commalaga.com,es
rmiq.org,us
rponcologia.com,us
rsiapd.com,id
rudn.tlcjournal.org,ru
rumahpublikasi.com,id
sagi-trs.net,au
saglikokuryazarligidergisi.com,tm
saheljvs.org,us
sainsplus.com,id
sajbm.org,za
sajdrm.org,np
sajems.org,za
sajshs.org,us
sajst.org,us
saudiradiology.com,us
scholarlyediting.reclaim.hosting,us
scholarshub.net,sg
sciedc.com,ru
scienceimpactpub.com,sg
sciencescholarconsulting.org,gb
scienpg.com,us
scipg.com,us
scitecresearch.com,us
semioticreview.com,us
sgej.org,de
shdevr.org,us
siglodiecinueve.com,nl
simple.ascee.org,id
siuj.org,ca
sivamy.org,us
sjcmds.com,us
slr-m.com,us
smbs.salviapub.com,de
smcr.salviapub.com,de
smsjournals.com,sg
sociedadvenezolanadecirugia.com,fr
societasdei.rcrs.org,sg
sofeuncp.org,us
sovereign.penerbitsign.com,id
sovereignjournal.penerbitsign.com,id
spphllc.com,us
sthrajesh.info,us
stikbar.org,nl
strategi.itmaranatha.org,id
sub.jamsloaded.com,us
submissions.cljournal.org,us
submissions.ctjournal.org,ca
submissions.ijskit.org,us
submissions.spmcjournal.com,sg
submit.aeeej.org,bg
summusjournals.com,de
tamarajournal.com,pl
td-sa.net,de
tech.ubiquityjournal.website,nl
technosciencejfcda.com,us
tejustore.com,us
tekkad.org,tr
teoriayrpraxis.net,us
teslej-sub.org,us
teunulehjournal.com,sg
thefuturejournals.org,us
thejecost.com,us
thejhsc.org,us
theolib.atla.com,us
theologiaviatorum.org,za
thesciencejobs.com,us
thesich.org,us
thesystemtechnologies.com,ru
tliaj.lurbu.com,us
tljes.org,us
traditionalarchitecturejournal.com,es
tredes.org,us
triss.org,gb
ttfnc.org,us
turkishsocialscience.com,tr
ujcsit.com,de
ukinstitute.org,id
umps.uber.space,de
understory-submit.fishcracker.net,us
unijerps.org,gb
uoajournal.com,de
urj.library.iit.edu,us
usnsj.com,us
vahaipublication.com,in
veerankis.org,in
versibaru.pei-pusat.org,id
vinculosdehistoria.com,nl
wajus.org,us
waocp.com,nl
watsonojs.binghamton.edu,us
wawasan.bdkjakarta.org,cy
webdev2.agh.okstate.edu,us
wedjournals.com,us
worldwidejournals.org,us
wszechswiat.ptpk.org,pl
wujastyk.net,gb
www.abmjournal.org,sg
www.acseusa.org,us
www.aimsci.com,us
www.ajrh.info,us
www.altex.org,ch
www.amcapjess.net,us
www.amcapjmcs.net,us
www.amha-journal.com,hr
www.amministrativamente.com,it
www.anatoliasr.org,tr
www.annalsofhealthresearch.com,us
www.arcc-journal.org,us
www.architalbiol.org,de
www.astroedjournal.org,au
www.ateneacientic.com,us
www.atlantisjournal.org,fr
www.atlas-tjes.org,us
www.attractivejournal.com,us
www.avtobiografija.com,us
www.bauddhikbharat.com,in
www.bayrak0l.org,nl
www.besli.org,ua
www.biomathforum.org,bg
www.bmc-rm.org,ru
www.books.iorpress.org,in
www.caribbeanmedicaljournal.org,us
www.case-analysis.uohcba.com,us
www.cbsjournal.com,cy
www.chemikinternational.com,us
www.cimel.felsocem.net,us
www.cityhealthj.org,tm
www.clei.org,us
www.clsu-ijeds.org,cy
www.cuadernoscanela.org,us
www.cuadernosdecomunicacion.com,es
www.dentjournalng.org,us
www.designforsocialchange.org,gb
www.dsesj.com,fr
www.ecocycles.net,nl
www.eden-online.org,hu
www.edgj.org,us
www.ejournal.cloud,us
www.elbahith.com,fi
www.essachess.com,ro
www.estudiosbandisticos.com,es
www.europasianjournals.org,us
www.fepbl.com,us
www.fipcaec.com,us
www.fmepro.org,us
www.fundamentaljournals.org,us
www.genresj.org,gb
www.heanoti.com,id
www.hellenicstem.com,tr
www.hfcplatform.org,it
www.hsijournal.org,de
www.htmanagementvb.com,nl
www.iajiss.org,ca
www.ias-iss.org,si
www.ibmi-medan.com,id
www.icaseonline.net,us
www.idesmac.org,us
www.ijact.org,in
www.ijafame.org,nl
www.ijarlit.org,id
www.ijebe.com,id
www.ijemr.net,in
www.ijfrd.com,us
www.ijhcs.com,fr
www.ijipem.com,us
www.ijitcs.info,us
www.ijohss.com,us
www.ijosi.org,tw
www.ijpcm.org,gb
www.ijpefs.com,in
www.ijphs.org,sg
www.ijphy.org,in
www.ijrasb.com,in
www.ijrpc.org,us
www.ijsmi.com,in
www.ijsponline.com,in
www.ilaindia.net,us
www.ilasl.org,it
www.ilomata.org,sg
www.ina-jghe.com,cy
www.intellect.zone,us
www.itejournal.org,us
www.jahr-bioethics-journal.com,hr
www.jairm.org,es
www.jasrep.org,us
www.jbscim.com,nl
www.je-lks.org,gb
www.jeae.org,tr
www.jebejournal.org,us
www.jiecr.org,sg
www.jiengtech.com,us
www.jmedsci.com,pk
www.jmoe.org,us
www.jmsskims.org,gb
www.joci.ecu.edu,us
www.jocrm.org,us
www.journal.aleftrust.org,gb
www.journalajrdes.com,us
www.journalajrn.com,us
www.journalajrre.com,us
www.journalajrrga.com,us
www.journalajrru.com,us
www.journalarjgo.com,us
www.journalgurus.com,us
www.journaliaarj.com,us
www.journalijrrc.com,us
www.journalofcommunitymedicine.com,fr
www.journalofsouthpacificagriculture.com,us
www.journals.wsrpublishing.com,nl
www.journaltop.com,us
www.jphysio.com,in
www.jpll.org,us
www.jpmtr.org,si
www.jsc-journal.com,de
www.jssadrispa.com,id
www.jssbia.com,th
www.jtk.kodepena.org,id
www.jurnalfai-uikabogor.org,id
www.kalamatika.matematika-uhamka.com,id
www.kreaturk.com,tr
www.larosadiparacelso.com,it
www.lectorjournal.com,pl
www.leraweb.net,us
www.managementjournal.info,us
www.marife.org,tr
www.medioevoeuropeo-uniupo.com,it
www.mondi.academy,it
www.mormonsocialscience.org,us
www.mundoalfal.org,de
www.nalans.com,us
www.navicosoft.xyz,pk
www.ncribjare.org,us
www.neuropsicolatina.org,ca
www.nijophasr.net,us
www.northernceramicsociety.org,gb
www.ojed.org,us
www.oprr.sawitcentre.org,id
www.oraxiom.org,de
www.orghr.org,hk
www.oxygenlink.com,us
www.perinasiajournal.com,sg
www.pesquisasagricolas.com,us
www.pewarta.org,id
www.phcogj.info,us
www.politicaygobierno.cide.edu,mx
www.pressmedica.com,cy
www.profinf.net,us
www.projectbaikal.com,nl
www.promotionalcommunications.org,us
www.psiencia.com,us
www.qjssh.com,my
www.rapsy.net,sg
www.redesla.org,us
www.revista.agroecologia.net,es
www.revista.tecccog.net,br
www.revistaaccb.org,us
www.revistaafese.org,de
www.revistaartroscopia.com,us
www.revistacancercol.org,us
www.revistadeingenieriaeinnovacion-fiis-unheval.com,nl
www.revistaiberoamericanadederechoyeconomia.org,us
www.revistainclusion.org,us
www.revistamexicanadeinvestigacionenpsicologia.com,us
www.revistapsicosomaticaypsiquiatria.com,nl
www.revistasacp.com,us
www.revistashc.org,us
www.revistasocialium.com,us
www.revistatheorein.com,us
www.rmhe.somehide.org,us
www.rmiq.org,us
www.rsiapd.com,id
www.sa-ijas.org,it
www.saata.org,us
www.sciences-du-design.org,fr
www.scigreen.com,my
www.scirevfew.net,us
www.shdisj.com,ua
www.siglodiecinueve.com,nl
www.sjcmds.com,us
www.socialsciencejournals.pjgs-ws.com,de
www.spafajournal.org,sg
www.stieumeltual.com,id
www.stnperu.com,nl
www.studiolari.com,us
www.sunmedpublishing.com,us
www.technosciencejfcda.com,us
www.tensodiagonal.org,us
www.thefutureoffoodjournal.com,de
www.theise.org,kr
www.theshodh.com,us
www.tjmmsonline.com,de
www.tljes.org,us
www.transnationallitsubmissions.org,us
www.turahes.com,tr
www.victoriannetwork.org,de
www.worldbookpublisher.com,us
www.xpublication.com,hk
xlescience.org,us
zancojournals.su.edu.krd,us
